Noncampuscrime070809.csv
UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD7,NEG_M7,FORCIB7,NONFOR7,ROBBE7,AGG_A7,BURGLA7,VEHIC7,ARSON7,MURD8,NEG_M8,FORCIB8,NONFOR8,ROBBE8,AGG_A8,BURGLA8,VEHIC8,ARSON8,MURD9,NEG_M9,FORCIB9,NONFOR9,ROBBE9,AGG_A9,BURGLA9,VEHIC9,ARSON9,FILTER07,FILTER08,FILTER09
100654001.0,Alabama A & M University,Main Campus,4107 MERIDIAN ST,NORMAL,AL,35762.0,1.0,Public, 4-year or above,2413.0,2914.0,5327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
100663001.0,University of Alabama at Birmingham,Main Campus,ADMINISTRATION BLDG SUITE 1070, 701 20th Street So,BIRMINGHAM,AL,352940110.0,1.0,Public, 4-year or above,6814.0,10060.0,16874.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0
100690001.0,Amridge University,Main Campus,1200 TAYLOR RD,MONTGOMERY,AL,361173553.0,2.0,Private nonprofit, 4-year or above,360.0,397.0,757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
100706001.0,University of Alabama in Huntsville,Main Campus,301 SPARKMAN DR,HUNTSVILLE,AL,35899.0,1.0,Public, 4-year or above,4197.0,3484.0,7681.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
100724001.0,Alabama State University,Main Campus,915 SOUTH JACKSON ST,MONTGOMERY,AL,361040271.0,1.0,Public, 4-year or above,2108.0,3456.0,5564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
100751001.0,The University of Alabama,Main Campus,946 University Blvd,TUSCALOOSA,AL,354870180.0,1.0,Public, 4-year or above,13434.0,15265.0,28699.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
100760001.0,Central Alabama Community College,Alexander City Campus,1675 CHEROKEE RD,ALEXANDER CITY,AL,350110699.0,4.0,Public, 2-year,821.0,1620.0,2441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
100760002.0,Central Alabama Community College,Childersburg Campus,34091 Highway 280,Childersburg,AL,35044.0,4.0,Public, 2-year,821.0,1620.0,2441.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
100812001.0,Athens State University,Athens State University Main Campus,300 N BEATY ST,ATHENS,AL,35611.0,1.0,Public, 4-year or above,1196.0,2315.0,3511.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
100830001.0,Auburn University-Montgomery,Auburn University Montgomery,7400 EAST DRIVE,MONTGOMERY,AL,361173596.0,1.0,Public, 4-year or above,2028.0,3539.0,5567.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
