Reportedarrest091011.csv
UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON9,DRUG9,LIQUOR9,WEAPON10,DRUG10,LIQUOR10,WEAPON11,DRUG11,LIQUOR11,FILTER09,FILTER10,FILTER11
100654001.0,Alabama A & M University,Main Campus,4900 MERIDIAN ST,NORMAL,AL,35762,1.0,Public, 4-year or above,2218.0,2704.0,4922.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
100663001.0,University of Alabama at Birmingham,Main Campus,ADMINISTRATION BLDG SUITE 1070, 701 20th Street So,BIRMINGHAM,AL,352940110,1.0,Public, 4-year or above,6979.0,10596.0,17575.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
100663002.0,University of Alabama at Birmingham,Huntsville Regional Medical Campus,301 Governors Drive SW,Huntsville,AL,35801,1.0,Public, 4-year or above,6979.0,10596.0,17575.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,1.0
100690001.0,Amridge University,Main Campus,1200 TAYLOR RD,MONTGOMERY,AL,361173553,2.0,Private nonprofit, 4-year or above,349.0,426.0,775.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
100706001.0,University of Alabama at Huntsville,Main Campus,301 SPARKMAN DR,HUNTSVILLE,AL,35899,1.0,Public, 4-year or above,4208.0,3421.0,7629.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
100724001.0,Alabama State University,Main Campus,915 SOUTH JACKSON ST,MONTGOMERY,AL,361040271,1.0,Public, 4-year or above,2122.0,3303.0,5425.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
100751001.0,The University of Alabama,Main Campus,946 University Blvd,TUSCALOOSA,AL,354870180,1.0,Public, 4-year or above,14519.0,17128.0,31647.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
100751002.0,The University of Alabama,University of Alabama Gadsden Center,P.O. Box 1280,Gadsden,AL,359021280,1.0,Public, 4-year or above,14519.0,17128.0,31647.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,1.0
100760001.0,Central Alabama Community College,Alexander City Campus,1675 CHEROKEE RD,ALEXANDER CITY,AL,35010,4.0,Public, 2-year,856.0,1595.0,2451.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
100760002.0,Central Alabama Community College,Childersburg Campus,34091 Highway 280,Childersburg,AL,35044,4.0,Public, 2-year,856.0,1595.0,2451.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
100760003.0,Central Alabama Community College,Talladega Campus,1009 South Street East,Talladega,AL,35160,4.0,Public, 2-year,856.0,1595.0,2451.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,1.0
100812001.0,Athens State University,Athens State University Main Campus,300 N BEATY ST,ATHENS,AL,35611,1.0,Public, 4-year or above,1185.0,2204.0,3389.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
100830001.0,Auburn University at Montgomery,Auburn University Montgomery,7400 EAST DRIVE,MONTGOMERY,AL,361173596,1.0,Public, 4-year or above,1942.0,3363.0,5305.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
