residencehalldiscipline111213.csv
UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON11,DRUG11,LIQUOR11,WEAPON12,DRUG12,LIQUOR12,WEAPON13,DRUG13,LIQUOR13,FILTER11,FILTER12,FILTER13
100654001.0,Alabama A & M University,Main Campus,4900 MERIDIAN ST,NORMAL,AL,35762,1.0,Public, 4-year or above,2268.0,2752.0,5020.0,4.0,21.0,3.0,1.0,44.0,6.0,2.0,32.0,14.0,1.0,1.0,1.0
100663001.0,University of Alabama at Birmingham,Main Campus,ADMINISTRATION BLDG SUITE 1070, 701 20th Street So,BIRMINGHAM,AL,352940110,1.0,Public, 4-year or above,7309.0,11259.0,18568.0,2.0,43.0,127.0,1.0,48.0,90.0,0.0,44.0,136.0,1.0,1.0,1.0
100663002.0,University of Alabama at Birmingham,Huntsville Regional Medical Campus,301 Governors Drive SW,Huntsville,AL,35801,1.0,Public, 4-year or above,7309.0,11259.0,18568.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
100690001.0,Amridge University,Main Campus,1200 TAYLOR RD,MONTGOMERY,AL,361173553,2.0,Private nonprofit, 4-year or above,264.0,367.0,631.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
100706001.0,University of Alabama in Huntsville,Main Campus,301 SPARKMAN DR,HUNTSVILLE,AL,35899,1.0,Public, 4-year or above,4136.0,3240.0,7376.0,0.0,2.0,60.0,0.0,4.0,28.0,1.0,13.0,50.0,1.0,1.0,1.0
100724001.0,Alabama State University,Main Campus,915 SOUTH JACKSON ST,MONTGOMERY,AL,361040271,1.0,Public, 4-year or above,2399.0,3676.0,6075.0,1.0,14.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
100751001.0,The University of Alabama,Main Campus,1110 Jackson Ave,TUSCALOOSA,AL,354870180,1.0,Public, 4-year or above,15763.0,18989.0,34752.0,0.0,80.0,402.0,3.0,76.0,880.0,0.0,61.0,831.0,1.0,1.0,1.0
100751002.0,The University of Alabama,University of Alabama Gadsden Center,P.O. Box 1280,Gadsden,AL,359021280,1.0,Public, 4-year or above,15763.0,18989.0,34752.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
100760001.0,Central Alabama Community College,Alexander City Campus,1675 Cherokee Rd,Alexander City,AL,35010,4.0,Public, 2-year,738.0,1168.0,1906.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
100760002.0,Central Alabama Community College,Childersburg Campus,34091 Highway 280,Childersburg,AL,35044,4.0,Public, 2-year,738.0,1168.0,1906.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
100760003.0,Central Alabama Community College,Talladega Campus,1009 South Street East,Talladega,AL,35160,4.0,Public, 2-year,738.0,1168.0,1906.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
100812001.0,Athens State University,Athens State University Main Campus,300 N BEATY ST,ATHENS,AL,35611,1.0,Public, 4-year or above,1107.0,2063.0,3170.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
100830001.0,Auburn University at Montgomery,Auburn University Montgomery,7400 EAST DRIVE,MONTGOMERY,AL,361173596,1.0,Public, 4-year or above,1884.0,3200.0,5084.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,3.0,9.0,1.0,1.0,1.0
100858001.0,Auburn University,Main Campus,107 Samford Hall,AUBURN UNIVERSITY,AL,36849,1.0,Public, 4-year or above,12628.0,12236.0,24864.0,1.0,6.0,195.0,1.0,3.0,195.0,0.0,7.0,245.0,1.0,1.0,1.0
100937001.0,Birmingham Southern College,Birmingham-Southern College,900 Arkadelphia Road,Birmingham,AL,35254,2.0,Private nonprofit, 4-year or above,643.0,545.0,1188.0,0.0,18.0,25.0,0.0,20.0,31.0,0.0,20.0,36.0,1.0,1.0,1.0
101028001.0,Chattahoochee Valley Community College,Main Campus,2602 COLLEGE DR,PHENIX CITY,AL,36869,4.0,Public, 2-year,680.0,1157.0,1837.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101073001.0,Concordia College Alabama,Main Campus,1712 Broad Street,SELMA,AL,36701,2.0,Private nonprofit, 4-year or above,349.0,251.0,600.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
101116001.0,South University-Montgomery,South University - Montgomery,5355 Vaughn Road,MONTGOMERY,AL,361161120,3.0,Private for-profit, 4-year or above,177.0,505.0,682.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
101143001.0,Enterprise State Community College,Main Campus,600 PLAZA DR,ENTERPRISE,AL,363301300,4.0,Public, 2-year,1336.0,997.0,2333.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
