Noncampuscrime060708[1,2,3,4].csv
INSTNM,BRANCH,Address,City
Alabama A & M University,Main Campus,4107 MERIDIAN ST,NORMAL
University of Alabama at Birmingham,Main Campus,ADMINISTRATION BLDG SUITE 1070,701 20th Street So
Amridge University,Main Campus,1200 TAYLOR RD,MONTGOMERY
University of Alabama in Huntsville,Main Campus,301 SPARKMAN DR,HUNTSVILLE
Alabama State University,Main Campus,915 SOUTH JACKSON ST,MONTGOMERY
The University of Alabama,Main Campus,946 University Blvd,TUSCALOOSA
Central Alabama Community College,Alexander City Campus,1675 CHEROKEE RD,ALEXANDER CITY
Central Alabama Community College,Childersburg Campus,34091 Highway 280,Childersburg
Athens State University,Athens State University Main Campus,300 N BEATY ST,ATHENS
Auburn University-Montgomery,Auburn University Montgomery,7400 EAST DRIVE,MONTGOMERY
Auburn University Main Campus,Main Campus,107 Samford Hall,AUBURN UNIVERSITY
Birmingham Southern College,Birmingham-Southern College,900 Arkadelphia Road,Birmingham
Chattahoochee Valley Community College,Main Campus,2602 COLLEGE DR,PHENIX CITY
Concordia College-Selma,Main Campus,1804 GREEN ST,SELMA
South University-Montgomery,South University - Montgomery,5355 Vaughn Road,MONTGOMERY
Enterprise-Ozark Community College,Main Campus,600 PLAZA DR,ENTERPRISE
James H Faulkner State Community College,Main Campus,1900 US HWY 31 S,Bay Minette
Faulkner University,Main Campus,5345 ATLANTA HWY,MONTGOMERY
Faulkner University,FAULKNER UNIVERSITY-BIRMINGHAM,2200 RIVERCHASE CENTER,BIRMINGHAM
Faulkner University,FAULKNER UNIVERSITY-HUNTSVILLE,420 WYNN DR,HUNTSVILLE
Faulkner University,FAULKNER UNIVERSITY-MOBILE,3943 Airport Boulevard,MOBILE
Gadsden State Community College,Gadsden State Community College,1001 GEORGE WALLACE DR,GADSDEN
George C Wallace Community College-Dothan,Wallace Campus,1141 Wallace Drive,DOTHAN
George C Wallace Community College-Dothan,Ft. Rucker Center,Building 4502 Kingsman Street,Fort Rucker
George C Wallace Community College-Dothan,Sparks Campus,3235 South Eufaula Ave.,Eufaula
George C Wallace State Community College-Hanceville,Main Campus,801 MAIN ST NW,HANCEVILLE
