Noncampuscrime060708[1,2,3].csv
INSTNM,BRANCH,Address
Alabama A & M University,Main Campus,4107 MERIDIAN ST
University of Alabama at Birmingham,Main Campus,ADMINISTRATION BLDG SUITE 1070
Amridge University,Main Campus,1200 TAYLOR RD
University of Alabama in Huntsville,Main Campus,301 SPARKMAN DR
Alabama State University,Main Campus,915 SOUTH JACKSON ST
The University of Alabama,Main Campus,946 University Blvd
Central Alabama Community College,Alexander City Campus,1675 CHEROKEE RD
Central Alabama Community College,Childersburg Campus,34091 Highway 280
Athens State University,Athens State University Main Campus,300 N BEATY ST
Auburn University-Montgomery,Auburn University Montgomery,7400 EAST DRIVE
Auburn University Main Campus,Main Campus,107 Samford Hall
Birmingham Southern College,Birmingham-Southern College,900 Arkadelphia Road
Chattahoochee Valley Community College,Main Campus,2602 COLLEGE DR
Concordia College-Selma,Main Campus,1804 GREEN ST
South University-Montgomery,South University - Montgomery,5355 Vaughn Road
Enterprise-Ozark Community College,Main Campus,600 PLAZA DR
James H Faulkner State Community College,Main Campus,1900 US HWY 31 S
Faulkner University,Main Campus,5345 ATLANTA HWY
Faulkner University,FAULKNER UNIVERSITY-BIRMINGHAM,2200 RIVERCHASE CENTER
Faulkner University,FAULKNER UNIVERSITY-HUNTSVILLE,420 WYNN DR
Faulkner University,FAULKNER UNIVERSITY-MOBILE,3943 Airport Boulevard
Gadsden State Community College,Gadsden State Community College,1001 GEORGE WALLACE DR
George C Wallace Community College-Dothan,Wallace Campus,1141 Wallace Drive
George C Wallace Community College-Dothan,Ft. Rucker Center,Building 4502 Kingsman Street
George C Wallace Community College-Dothan,Sparks Campus,3235 South Eufaula Ave.
George C Wallace State Community College-Hanceville,Main Campus,801 MAIN ST NW
George C Wallace State Community College-Selma,Main Campus,3000 EARL GOODWIN PARKWAY
Herzing College,Main Campus,280 WEST VALLEY AVENUE
Huntingdon College,Main Campus,1500 East Fairview Avenue
Heritage Christian University,Main Campus,3625 HELTON DR
J F Drake State Technical College,Main Campus,3421 MERIDIAN ST N
Jacksonville State University,Main Campus,700 Pelham Road North
Jefferson Davis Community College,Main Campus,220 ALCO DR
Jefferson State Community College,Jefferson,2601 CARSON RD
John C Calhoun State Community College,Main Campus,HWY 31 N
Judson College,Main Campus,302 BIBB ST
Lawson State Community College-Birmingham Campus,Lawson State Community College,3060 WILSON RD SW
Lawson State Community College-Birmingham Campus,Bessemer Campus,1100 9th Ave
University of West Alabama,Main Campus,STATION ONE
Lurleen B Wallace Community College,Main Campus,1000 Dannelly Blvd.
Lurleen B Wallace Community College,Lurleen B. Wallace Community College-MacArthur Cam,1708 N. Main Street
Lurleen B Wallace Community College,Lurleen B. Wallace Community College-Greenville Ca,750 Greenville Bypass
Marion Military Institute,Main Campus,1101 Washington St.
Miles College,Main Campus,5500 MYRON MASSEY BLVD
University of Mobile,University of Mobile,5735 College Parkway
University of Montevallo,University of Montevallo,STATION 6001
Northwest Shoals Community College-Muscle Shoals,Main Campus,800 GEORGE WALLACE BLVD
Northwest Shoals Community College-Muscle Shoals,Phil Campbell Campus,2080 College Road
University of North Alabama,Main Campus,1 Harrison Plaza- UNA Box 5067
University of North Alabama,East Campus,1640 tune av.
Northeast Alabama Community College,Northeast Alabama Community College,P.O. Box 159  / 138 Alabama Hwy 35
Oakwood University,Main Campus,7000 ADVENTIST BLVD NW
Alabama Southern Community College,Main Campus,P.O. Box 2000
Alabama Southern Community College,THOMASVILLE CAMPUS,30755 Hwy 43 South
Alabama Southern Community College,GILBERTOWN CAMPUS,251 College Street
Alabama Southern Community College,JACKSON CAMPUS,235 College Avenue
